id,name,price_range,cuisine1,cuisine2,cuisine3,rating
42,Rae's Coastal Cafe,3,American,Caribbean,Seafood,4.9
43,The Bee's Knees,2,International,Tapas,Vegetarian,4.5
44,Boll Weevil Cafe,1,Desserts,Sandwich,Southern,3.9
45,Farmhaus Burger,2,American,Burger,,3.9
46,Manuel's Bread Cafe,3,Breakfast,French,,3.8
47,Sconyers Bar B Que,2,BBQ,,,3.5
48,Frog Hollow Tavern,3,American,,,4.3
49,Giuseppe's Pizza & Italian Specialities,2,Desserts,Italian,Pizza,4.1
50,Mellow Mushroom,2,Italian,Pizza,Sandwich,4.4
51,Nacho Mamas Burritos,1,Mexican,,,4
52,Rhinehart's Oyster Bar,2,Bar Food,Sandwich,Seafood,4
53,Takosushi,3,Mexican,Southwestern,Sushi,4.2
54,The Chop House,3,Steak,,,4
55,The Taj of India,2,Indian,,,4
56,Augsburg Haus,2,German,,,3.9
57,Pho Bac,1,Vietnamese,,,4.1
58,Rhinehart's Oyster Bar,2,Burger,Seafood,,4
59,Thai Kitchen,3,Thai,,,4.3
60,El Kiosco Mexican Restaurant,1,Mexican,,,4.2
61,Bardenay,2,American,Bar Food,,4.5
62,Flatbread Neapolitan Pizzeria,2,Italian,Pizza,,4.6
63,Goldy's Breakfast Bistro,2,Breakfast,Sandwich,,4.5
64,Chandlers Steakhouse,4,American,Seafood,Steak,3.9
65,Bar Gernika Basque Pub & Eatery,1,European,Spanish,,4.3
66,Barbacoa Restaurant,4,Latin American,Steak,,4.1
67,Big Jud's,1,American,Burger,Sandwich,4.2
68,Bittercreek Ale House,2,American,Bar Food,,4.3
69,Boise Fry Company,1,American,Burger,,4.4
70,Flying Pie Pizzaria,2,Pizza,,,4.1
71,Fork,2,American,Burger,,4.4
72,Guido's Original New York Style Pizza,1,Pizza,,,4.3
73,Los Beto's,1,Mexican,,,4.4
74,Lucianos Italian Restaurant,2,Italian,Seafood,Vegetarian,4.4
75,Mai Thai Restaurant,3,Sushi,Thai,,4
76,Shige Japanese Cuisine,2,Japanese,Sushi,Teriyaki,4.1
77,The Egg Factory,1,Breakfast,,,4.3
78,Tucanos,3,Brazilian,,,4
79,Texas Roadhouse,2,American,BBQ,Steak,4
80,Brick 29,3,American,,,4.4
81,Winifreds,3,American,Mediterranean,Seafood,3.7
82,Biaggi's Ristorante Italiano,3,Italian,Pizza,,4.1
83,El Super Burrito,1,Mexican,,,4.1
84,Granite City Food & Brewery,3,American,Breakfast,Burger,4.1
85,Irish Democrat,2,American,BBQ,Burger,4.4
86,Taste of India,2,Indian,,,4.2
87,Thai Moon Restaurant,1,Chinese,Sushi,Thai,4.2
88,Ting's Red Lantern,1,Chinese,,,4.2
89,Monica's,2,American,Italian,Pizza,3.8
90,Exotic India,2,Indian,,,4.1
91,Shorts Burger and Shine,1,Burger,,,4.9
92,The Hamburg Inn No. 2 Inc.,1,American,Breakfast,Burger,4.5
93,Bluebird Diner,2,Breakfast,Diner,,3.6
94,Graze,3,American,International,Sushi,3.8
95,A & A Pagliai's Pizza,2,Pizza,,,4.3
96,Atlas World Grill,3,International,,,4.3
97,BlackStone,2,American,Breakfast,,4.1
98,Devotay,3,Mediterranean,Tapas,Vegetarian,4
99,Jimmy Jack's Rib Shack,2,BBQ,,,4.2
100,Zoeys Pizzeria,2,Pizza,Sandwich,,4.7
101,Berry Patch Restaurant,1,American,Breakfast,Desserts,4.3
102,Sakura Sushi & Grill,2,Asian,Japanese,,3.1
103,Uptown Vietnam cuisine,1,Asian,Vietnamese,,3.3
104,Cafe Le Rue @ The Landings,2,American,Seafood,Cajun,4.6
105,Mark's City Grille,2,American,,,4.5
106,B Merrell's,2,Burger,Bar Food,Southern,3.8
107,Cannon Brewpub,2,Pizza,Bar Food,,3.9
108,Fuji Japanese Steak House,3,Japanese,Steak,,3.9
109,Ruth Ann's Family Restaurant,1,Breakfast,Diner,Southern,3.7
110,Samurai Japanese Cuisine & Sushi Bar,3,Japanese,Steak,Sushi,3.6
111,Wasabi Sushi and Thai,3,Japanese,Sushi,Thai,3.7
112,Buckhead Bar and Grill,3,Seafood,Steak,Vegetarian,4.2
113,Burt's Butcher Shoppe and Eatery,2,Steak,,,4.3
114,Chef Lee's Peking Restaurant,2,Chinese,,,4
115,Country's Barbecue,2,BBQ,Southern,,4
116,Deorio's,1,Italian,Pizza,,4
117,Mellow Mushroom,2,Pizza,,,4.1
118,Meritage,3,American,Tapas,,4.1
119,Mongo The Mongolian Fire Pit,1,Asian,Chinese,,4.2
120,The Black Cow,2,American,,,4.3
121,Wood Stone,3,Italian,Mediterranean,Pizza,4
122,Hunter's Pub,3,American,Seafood,Steak,4.4
123,Thatcher's Barbeque and Grill,2,American,BBQ,Southern,3.7
124,Christian and Jake's Bistro,1,Desserts,Sandwich,,4.4
125,Dub's High on the Hog,2,BBQ,,,4.4
126,Sierra's Mexican Restaurant,1,Mexican,Tex-Mex,,3.9
127,Oakwood Cafe,1,BBQ,Breakfast,Southern,4.9
128,Chili's Grill & Bar,2,American,,,3.8
129,Fuji Japanese Steakhouse,3,Japanese,Sushi,,3.8
130,Las Palmas,1,Mexican,,,3.8
131,Tony's Italian Restaurant & Pizza,2,Italian,,,3.7
132,Filling Station,1,American,Burger,,4.1
133,Five Guys Burgers and Fries,1,Fast Food,,,4.1
134,Los Pablos,1,Mexican,,,4.1
135,Kobe Hibachi & Sushi,2,American,Japanese,Sushi,4.6
136,Soho Hibachi,1,Japanese,,,4.3
137,Thai Garden,2,Thai,,,4.2
138,Southern Bliss Bakery,1,Desserts,Sandwich,,3.7
139,Bailey's Bar-B-Que,1,BBQ,,,4.1
140,Farm To Fork,1,American,Diner,Southern,4.3
141,Home Plate Grill,1,American,BBQ,Southern,4.2
142,Pie Slingers Pizzeria,1,Italian,Pizza,,4.1
143,Olive Tree Cafe,2,Indian,Mediterranean,Middle Eastern,4.6
144,"Red Ginger Sushi, Grill & Bar",3,Sushi,Teriyaki,,4.5
145,Crust Stone Oven Pizza,2,Burger,Pizza,,3.9
146,Jimmy's Pancake House,1,American,Breakfast,Greek,4
147,Trattoria Tiramisu,2,Italian,,,4.1
148,Prairie Grille at SteepleGate Inn,2,American,Breakfast,,3.4
149,Tantra Asian Bistro,2,Asian,,,4.9
150,Chick-fil-A,1,Fast Food,,,3.9
151,Duck City Bistro,4,American,French,,3.7
152,Frick's Tap,2,American,Bar Food,BBQ,0
153,Los Agaves,2,Mexican,,,0
154,Azteca,1,Mexican,,,4.3
155,China Cafe,2,Chinese,,,4
156,Exotic Thai Restaurant,2,Thai,,,4.1
157,Front Street Brewery,1,American,,,4.3
158,Granite City Food & Brewery,2,American,,,4
159,Los Agaves,2,Mexican,,,4.1
160,Machine Shed Restaurant,2,American,,,4.1
161,Osaka,3,Japanese,Sushi,,4.2
162,Texas Roadhouse,2,American,BBQ,Steak,4.2
163,Hickory Park,2,BBQ,Burger,Desserts,4.5
164,The Cafe,2,American,Coffee and Tea,,4.9
165,Flying Mango,3,BBQ,Caribbean,Cajun,4.5
166,Cool Basil,2,Asian,Sushi,Thai,4.1
167,HuHot Mongolian Grill,2,Asian,Chinese,,4
168,Malo,2,Latin American,Mexican,,3.2
169,Centro,3,Italian,Pizza,,4.5
170,Fong's Pizza,2,Chinese,Pizza,,4.6
171,A Dong Restaurant,1,Asian,Vegetarian,Vietnamese,4.4
172,Court Avenue Brewing Company,3,American,Pizza,Bar Food,4.2
173,Django,3,French,,,4.3
174,Miyabi 9,2,Japanese,Sushi,,4.8
175,Zombie Burger + Drink Lab,1,Burger,Desserts,Vegetarian,4.2
176,Tursi's Latin King,4,American,Italian,,4.1
177,Tsing Tsao South,1,Chinese,,,4.1
178,Bandit Burrito,1,Breakfast,Mexican,Southwestern,4
179,Jethro's BBQ,2,American,BBQ,,4.3
180,The Machine Shed Restaurant,2,American,Breakfast,,3.8
181,Mi Patria,2,Latin American,,,4
182,Waterfront Seafood Market,3,Seafood,Sushi,,4.2
183,Burnt Toast Cafe,1,Breakfast,,,3.4
184,Catfish Charlie's,2,Seafood,,,3.3
185,Salsa's Mexican Restaurant,1,Mexican,,,3.4
186,Tony Roma's,2,American,BBQ,Seafood,3.3
187,Vinny Vanucchi's,2,Italian,,,3.4
188,Champps Americana,2,American,Burger,Sandwich,3.5
189,Fiesta Cancun,1,Mexican,,,3.6
190,Happy Joe's Pizza & Ice Cream,1,Desserts,Pizza,Ice Cream,3.5
191,Houlihan's,2,American,Burger,,3.6
192,Ichiban Hibachi Steakhouse & Sushi Bar,3,Japanese,Steak,Sushi,3.7
193,Kalmes Breaktime Bar & Grill,2,American,Burger,,3.6
194,L. May Eatery,3,International,Pizza,,3.8
195,Los Aztecas,1,Mexican,,,3.5
196,Manna Java World Cafe,1,Breakfast,Pizza,,3.5
197,Mario's Italian Restaurant,2,American,Italian,,3.6
198,Pepper Sprout Incorporated,3,American,,,3.6
199,Shot Tower Inn,2,Italian,Pizza,,3.6
200,Sunshine Family Restaurant,1,American,Breakfast,Burger,3.5
201,Watershed Cafe,2,American,Burger,Pizza,3.7
202,Woodfire Grille,4,American,Seafood,Steak,3.6
203,Jehova es Mi Pastor Tacos y Burritos,1,Mexican,,,3.7
204,Houndstooth Grill & Tavern,2,American,Sandwich,Seafood,4.4
205,Hawg Wild BBQ & Catfish House,1,BBQ,Burger,Seafood,4.1
206,Bourbon Street Grille,2,American,Burger,Cajun,3.8
207,Corkscrew Cafe,3,,,,3.9
208,Smokin Gold BBQ,1,BBQ,,,3.9
209,Hoka-Hoka Japanese Steak & Sushi,1,Chinese,Japanese,Thai,4.4
210,Shenanigan's Irish Pub,2,Bar Food,Seafood,Vegetarian,4.1
211,Fish Tales Lakeside Grille,2,Seafood,,,3.8
212,Antebellum,3,American,Southern,,4.3
213,Moonie's Texas Barbecue,1,BBQ,Sandwich,,4.1
214,Atlanta Highway Seafood Market,2,Sandwich,Seafood,Cajun,4.9
215,Eat at Thai,1,Thai,,,4.6
216,Smoke House BBQ and Catering,2,BBQ,,,3.8
217,2 Dog,2,American,European,Sandwich,4.2
218,Longstreet Cafe,1,Southern,,,4.3
219,Re-Cess,2,American,Southern,,4.2
